Publication Year,Author,Title,ISBN,Url,Abstract,Author Image,Book Cover,Date,Date Added,Num Pages,Short Title,Series,Publisher,Place,Place 2,Language,Library Catalog,Call Number,Extra,Notes,Automatic Tags,Editor,Series Editor,Translator,Contributor,StoryPoint,StoryPoint2,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,,,
2017,"Al bishr, Badriya",Hend and the soldiers,978-1-4773-1306-0,https://www.goodreads.com/book/show/32661268-hend-and-the-soldiers,"""Hend is a young Saudi Arabian woman struggling to challenge her conservative society, which is represented by various soldiers, real and metaphorical, in her life. After a failed arranged marriage to an army officer, she is determined to establish herself as a writer and make her own choices in love. Her mother, a firm supporter of their society's traditional norms, works to block her efforts. As Hend engages with her mother, stories of her past and those of other female relatives reveal the extent of the suffering previous generations of women have endured while living in such a patriarchal society. Hend also comes to understand how such traditions have adversely affected the men in her family, including one brother who flees to the West and another who finds comradeship among the members of al-Qaeda""--Back cover",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482891848l/32661268._SY475_.jpg,2017,2/14/2022 2:40,141,,Modern Middle East literatures in translation series,Center for Middle Eastern Studies at the University of Texas,US - Austin,,,Library of Congress ISBN,PJ7910.L36 H4613 2017,OCLC: ocn961009179,,Fiction; Arabic fiction; Saudi Arabia,,,,,,,,,,,,,,,
2017,"ElHassan, Jana Fawaz",The ninety-ninth floor,978-1-56656-054-2,https://www.goodreads.com/book/show/30961995-the-ninety-ninth-floor,"Shortlisted for the International Prize for Arabic Fiction 2015. At times as cold and hard-edged as the skyscrapers in its backdrop, The Ninety-Ninth Floor follows the struggles and triumphs of Majed as he makes it in Manhattan at the turn of the century, after surviving the devastating 1982 massacre at the Sabra and Shatila refugee camp. A Palestinian born and raised in Lebanon, Majed creates a new life for himself in the glittery world of New York City’s computer games industry. But with all his success, Majed’s past continues to haunt him. His relationship with Hilda, a Lebanese woman from a right-wing Christian family, exposes his innermost fears, worries, and dark secrets. A multi-voiced narration, The Ninety-Ninth Floor conveys the brutality that war leaves on the people who experience it. It is also a love story that asks questions about the ability of passion to overcome hatred and difference.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471294480l/30961995.jpg,2017,2/23/2022 17:40,288,,Swallow editions,Interlink Books,"US - Northampton, MA",,eng,Library of Congress ISBN,PJ7930.J36 T3313 2017,,,Fiction; Palestinian Arabs,,,"Hartman, Michelle",,,,,,,,,,,,
2017,"Khoury-Ghata, Vénus",A handful of blue earth,978-1-78694-011-7,https://www.goodreads.com/book/show/34028005-a-handful-of-blue-earth,"In her preface the distinguished American poet and translator Marilyn Hacker describes the poems included here as 'exploded narratives, re-assembled in a mosaic or labyrinth in which the reader, like Ariadne, finds a connecting thread'. Khoury-Ghata's book, published in her eighty-first year, is testimony to this Lebanese poet's enduring brilliance. Earlier translations by Hacker were described by Alica Ostriker as emerging 'from the embers of loss and death, from childhood and the moon, from villages and cemeteries and forests, geography and God'. In two moving sequences, we find Khoury-Ghata's voice retuning to familiar themes of death, intimacy, enforced silence and the surreal horror of war. Rendered faithfully and exquisitely by Hacker's concise eye, the poems mark an important contribution to world poetry in translation.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636372626l/34028005.jpg,2017,2/23/2022 5:02,56,,,Liverpool University Press,UK - Liverpool,,eng,Library of Congress ISBN,PQ2671.H6 A2 2017,OCLC: ocn964378171,,"Marble sculpture, Greek; Poetry",,,"Hacker, Marilyn",,,,,,,,,,,,
2017,"Khoury-Ghata, Vénus",SEVEN STONES.,978-1-909762-63-3,https://www.goodreads.com/book/show/36762730-seven-stones,"In a remote community on the edge of a windswept desert, a woman has been condemned to death by stoning. Steeped in the harsh values of her traditional, patriarchal society, Noor accepts her fate. When an aid worker befriends her, urging her to defend herself and her unborn child, the two women form a bond. Together with Amina, Noor’s outspoken friend, they struggle to defy the law. Written in prose imbued with the rhythms and images of the author’s native language, Arabic, this is a tale of the bonds of female friendships, solidarity and empowerment in a society where the woman’s voice, especially in the public sphere has been denied.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512251091l/36762730._SY475_.jpg,2017,2/25/2022 14:47,,,,JACARANDA Books ART MUSIC,Place of publication not identified,,English,Open WorldCat,,OCLC: 1005110137,,,,,,,,,,,,,,,,,
2017,"Yusuf, Asha Lul Mohamud",The sea-migrations =: Tahriib,978-1-78037-398-0,https://www.goodreads.com/book/show/36513344-the-sea-migrations,"Although Asha Lul Mohamud Yusuf has lived in exile in the UK for 20 years, she is fast emerging as one of the most outstanding Somali poets, as well as a powerful woman poet in a literary tradition still largely dominated by men. She is a master of the major Somali poetic forms, including the prestigious gabay, by which she presents compelling arguments with astonishing feats of alliteration. The key to her international popularity is in her spirit and message: her poems are classical in construction but they are unmistakeably contemporary, and they engage passionately with the themes of war and displacement which have touched the lives of an entire generation of Somalis. The mesmerising poems in this landmark collection are brought to life in English by award-winning Bloodaxe poet Clare Pollard.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509508789l/36513344.jpg,2017,2/23/2022 17:43,134,The sea-migrations =,,Bloodaxe Books ; The Poetry Translation Centre Ltd,UK - England,,eng som,Library of Congress ISBN,PJ2534.Y87 A2 2017,OCLC: ocn990711935,,Social life and customs; Emigration and immigration; Social conditions; Manners and customs; Poetry; Somali poetry; Somalia; Translations,,,"Pollard, Clare; Hussein, Said Jama; Xasan, Maxamed",,,,,,,,,,,,
2018,"Al Rawi, Shahad",The Baghdad clock,978-1-78607-324-2 978-1-78607-322-8,https://www.goodreads.com/book/show/36941055-the-baghdad-clock,"SHORTLISTED FOR THE INTERNATIONAL PRIZE FOR ARABIC FICTION 2018 For fans of The Kite Runner comes this remarkable debut, the number one bestselling title in Iraq, Dubai and the UAE Baghdad, 1991. In the midst of the first Gulf War, a young Iraqi girl huddles with her neighbours in an air raid shelter. There, she meets Nadia. The two girls quickly become best friends and together they imagine a world not torn apart by civil war, sharing their dreams, their hopes and their desires, and their first loves. But as they grow older and the bombs continue to fall, the international sanctions bite and friends begin to flee the country, the girls must face the fact that their lives will never be the same again. This poignant debut novel will spirit readers away to a world they know only from the television, revealing just what it is like to grow up in a city that is slowly disappearing in front of your eyes, and showing how in the toughest times, children can build up the greatest resilience",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512495633l/36941055._SY475_.jpg,2018,2/23/2022 17:44,252,,,Oneworld,UK - London,,eng,K10plus ISBN,,,,,,,"Leafgren, Luke",,,,,,,,,,,,
2018,"Al Shaykh, Hanan",The occasional virgin,978-1-5247-4751-0 978-0-525-56304-4,https://www.goodreads.com/book/show/36750071-the-occasional-virgin,"A bold, tragicomic novel about two clever thirty-something women--successful in their careers but unlucky in love--from one of the most important Middle Eastern writers at work today. On a sunny beach in the French Riviera, Yvonne and Huda relax by the sea. But as their vacation unfolds, their troubled pasts seep through to the present. Both women spent their childhoods in Beirut--Yvonne raised in a Christian family and Huda raised in the Muslim faith--and find that while they left their families behind, they are still unable to escape their families' reach. As the novel unfolds, and as the story moves back in time to Beirut, and then forward to London, both friends undertake their own quests for romance and love. Here we follow the tumultuous lives and occasionally shocking choices of these two complicated, deeply engaging women torn between the worlds they were born into and the worlds they've created for themselves. The Occasional Virgin is a witty and wry, poignant and perceptive novel for our time.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514531707l/36750071.jpg,2018,2/23/2022 4:44,221,,,Pantheon Books,US - New York,,eng,Library of Congress ISBN,PJ7862.H356 A2 2018,,,,,,"Cobham, Catherine",,,,,,,,,,,,
2018,"Ashour, Radwa",The journey: an Egyptian woman student's memoirs of America,978-1-62371-997-5,https://www.goodreads.com/book/show/41539679-the-journey,"""A memoir of Egyptian-American activist and writer Radwa Ashour's years as a graduate student in the W.E.B. Du Bois Department of African American Studies at the University of Massachusetts Amherst""--",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540942461l/41539679.jpg,2018,2/23/2022 17:52,,The journey,,"Olive Branch Press, an imprint of Interlink Publishing Group, Inc","US - Northampton, MA",,eng,Library of Congress ISBN,E169.04 .A8413 2018,,,"Biography; Autobiographies; Description and travel; Egyptian American women; ʻĀshūr, Raḍwá; United States; Women graduate students",,,"Hartman, Michelle",,,,,,,,,,,,
2018,"Kamal, Donya",Cigarette number seven,978-977-416-850-5,https://www.goodreads.com/book/show/34439615-cigarette-number-seven,"Nadia, now a young woman, looks back on her childhood from an uncertain present. Short, succinct chapters slowly draw us into her world: from the ordinary day to day of quiet hours spent cooking with her grandmother, to the men she has loved, and lost, to her complicated relationship with her absent father, and to her cautious participation in the Egyptian 'revolution.' Against this backdrop of both intensely personal and profoundly public life, we get to know Nadia over three decades. Stunning in its simplicity, Cigarette Number Seven is a deeply intimate novel about family and relationships in turbulent times.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1513370316l/34439615.jpg,2018,2/23/2022 4:56,191,,,Hoopoe,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7942.A45 S5513 2018,OCLC: on1027556464,,Fiction; Arabic fiction; Egypt; Family life,,,"Youssef, Nariman",,,,,,,,,,,,
2018,"Mikhail, Dunya",The beekeeper of Sinjar,978-1-78816-126-8,https://www.goodreads.com/book/show/40543854-the-beekeeper-of-sinjar,"In The Beekeeper of Sinjar, the acclaimed poet and journalist Dunya Mikhail tells the harrowing stories of women from across Iraq who have managed to escape the clutches of ISIS. Since 2014, ISIS has been persecuting the Yazidi people, killing or enslaving those who won't convert to Islam. These women have lost their families and loved ones, along with everything they've ever known. Dunya Mikhail weaves together the women's tales of endurance and near-impossible escape with the story of her own exile and her dreams for the future of Iraq. In the midst of ISIS's reign of terror and hatred, an unlikely hero has emerged: the Beekeeper. Once a trader selling his mountain honey across the region, when ISIS came to Sinjar he turned his knowledge of the local terrain to another, more dangerous use. Along with a secret network of transporters, helpers, and former bootleggers, Abdullah Shrem smuggles brutalised Yazidi women to safety through the war-torn landscapes of Iraq, Syria, and Western Turkey. This powerful work of literary nonfiction offers a counterpoint to ISIS's genocidal extremism: hope, as ordinary people risk torture and death to save the lives of others.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529636485l/40543854._SY475_.jpg,2018,2/24/2022 22:21,209,,,Serpent's Tail,UK - London,,eng,Library of Congress ISBN,DS70.8.Y49 M545313 2018,OCLC: on1022077812,,"Women; Iraq; Biography; Abduction; Crimes against; Genocide; IS (Organization); Persecutions; Shrem, Abdullah; Violence against; Yezidis",,,"Weiss, Max",,,,,,,,,,,,
2018,"Najjar, Taghreed",Watermelon Madness,978-2-924786-22-2,https://www.goodreads.com/book/show/40097709-watermelon-madness,"Noura only wants to eat watermelon, until the night she sneaks a watermelon into her room and dreams of having all the watermelon she could ever want.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527394721l/40097709._SX318_.jpg,2018,2/25/2022 14:25,,,,Crackboom! Books,,,English,Open WorldCat,,OCLC: 1243016560,,,,,"Hartman, Michelle",,,,,,,,,,,,
2018,"Salih, Arwa",The stillborn: notebooks of a woman from the student-movement generation in Egypt,978-0-85742-483-9,https://www.goodreads.com/book/show/34448115-the-stillborn,"""Arwa Salih was a member of the political bureau of the Egyptian Communist Workers Party, which was founded in the wake of the Arab-Israeli War and the Egyptian student movement of the early 1970s. Written more than a decade after Salih quit the party and left political life--and published shortly after she committed suicide--the book offers a poignant look at, and reckoning with, the Marxism of her generation and the role of militant intellectuals in the tragic failure of both the national liberation project and the communist project in Egypt. The powerful critique in The Stillborn speaks not only to and about Salih's own generation of left activists but also to broader, still salient dilemmas of revolutionary politics throughout the developing world in the postcolonial era""--Jacket",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492484196l/34448115.jpg,2018,2/25/2022 2:30,143,The stillborn,The Arab list,Seagull Books,UK - London,,eng,Library of Congress ISBN,HX443.A6 S255 2018,OCLC: on1030898183,,20th century; Politics and government; Egypt; 1900-1999; 1970-1981; Communism; Student movements,,,"Selim, Samah",,,,,,,,,,,,
2018,,Pearls on a branch: Arab stories told by women in Lebanon today,978-0-914671-89-3,https://www.goodreads.com/book/show/35747882-pearls-on-a-branch,"A collection of 30 traditional Syrian and Lebanese folktales infused with new life by Lebanese women, collected by Najla Khoury. While civil war raged in Lebanon, Najla Khoury traveled with a theater troupe, putting on shows in marginal areas where electricity was a luxury, in air raid shelters, Palestinian refugee camps, and isolated villages. Their plays were largely based on oral tales, and she combed the country in search of stories. Many years later, she chose one hundred stories from among the most popular and published them in Arabic in 2014, exactly as she received them, from the mouths of the storytellers who told them as they had heard them when they were children from their parents and grandparents. Out of the hundred stories published in Arabic, Inea Bushnaq and Najla Khoury chose thirty for this book.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518740110l/35747882._SX318_.jpg,2018,2/25/2022 2:34,1,Pearls on a branch,,Archipelago Books,US - New York,,eng,Library of Congress ISBN,GR295.L4,,,Women; Lebanon; Folklore; Tales,"Khouri, Najla; Bushnaq, Inea",,,,,,,,,,,,,,
2019,"Alharthi, Jokha",Celestial bodies,978-1-948226-94-3,https://www.goodreads.com/book/show/49382648-celestial-bodies,"""In the village of al-Awafi in Oman, we encounter three sisters: Mayya, who marries after a heartbreak; Asma, who marries from a sense of duty; and Khawla, who chooses to refuse all offers and await a reunion with the man she loves, who has emigrated to Canada. These three women and their families, their losses and loves, unspool ... against a backdrop of a rapidly changing Oman, a country evolving from a traditional, slave-owning society into its complex present""--",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562822902l/49382648._SX318_SY475_.jpg,2019,2/23/2022 4:17,243,,,Catapult,US - New York,,eng,Library of Congress ISBN,PJ7928.R58 S2813 2019,OCLC: on1104862738,,Fiction; FICTION / Literary; Social life and customs; Domestic fiction; FICTION / Family Life / General; FICTION / Women; Historical fiction; Manners and customs; Oman; Sisters,,,"Booth, Marilyn",,,,,,,,,,,,
2019,"Azem, Ibtisam",The book of disappearance,978-0-8156-1111-0,https://www.goodreads.com/book/show/42921509-book-of-disappearance,"What if all the Palestinians in Israel simply disappeared one day? What would happen next? How would Israelis react? These unsettling questions are posed in Azem's powerfully imaginative novel. Set in contemporary Tel Aviv forty eight hours after Israelis discover all their Palestinian neighbors have vanished, the story unfolds through alternating narrators, Alaa, a young Palestinian man who converses with his dead grandmother in the journal he left behind when he disappeared, and his Jewish neighbor, Ariel, a journalist struggling to understand the traumatic event. Through these perspectives, the novel stages a confrontation between two memories. Ariel is a liberal Zionist who is critical of the military occupation of the West Bank and Gaza, but nevertheless believes in Israel's project and its national myth. Alaa is haunted by his grandmother's memories of being displaced from Jaffa and becoming a refugee in her homeland. Ariel's search for clues to the secret of the collective disappearance and his reaction to it intimately reveal the fissures at the heart of the Palestinian question. The Book of Disappearance grapples with both the memory of loss and the loss of memory for the Palestinians. Presenting a narrative that is often marginalized, Antoon's translation of the critically acclaimed Arabic novel invites English readers into the complex lives of Palestinians living in Israel.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565982297l/51995019._SX318_SY475_.jpg,2019,2/23/2022 17:48,242,,,Syracuse University Press,"US - Syracuse, New York",,eng,Library of Congress ISBN,PJ7914.Z35 S54 2019,,,,,,"Antoon, Sinan",,,,,,,,,,,,
2019,"Bsharat, Ahlam",Trees for the absentees,978-1-911107-23-1,https://www.goodreads.com/book/show/51995019-trees-for-the-absentees,"Young love, meddling relatives, heart-to-hearts with friends real and imagined - Philistia's world is that of an ordinary university student, except that in occupied Palestine, and when your father is in indefinite detention, nothing is straightforward. Philistia is closest to her childhood, and to her late grandmother and her imprisoned father, when she's at her part-time job washing women's bodies at the ancient Ottoman hammam in Nablus, the West Bank. A midwife and corpse washer in her time, Grandma Zahia taught Philistia the ritual ablutions and the secrets of the body: the secrets of life and death. On the brink of adulthood, Philistia embarks on a journey through her country's history - a magical journey, and one of loss and centuries of occupation. As trees are uprooted around her, Philistia searches for a place of refuge, a place where she can plant a memory for the ones she's lost.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565982297l/51995019._SX318_SY475_.jpg,2019,2/25/2022 2:59,87,,,Neem Tree Press,UK - London,,eng,Library of Congress ISBN,PR6102.S43 T7413 2019,OCLC: on1120070990,,Fiction; Palestine,,,"Kemp, Ruth Ahmedzai; Copeland, Sue",,,,,,,,,,,,
2019,"Habayeb, Huzama",Velvet,978-977-416-930-4,https://www.goodreads.com/book/show/52216290-velvet,"Hawa is a child of the grinding hardship of a Palestinian refugee camp. She has had to survive the camp itself, as well as the humiliation and destruction of an abusive family life. But now, later in life, something most unexpected has happened: she has fallen in love. Velvet unfolds over a day in Hawa's life, as she makes plans for a new beginning that may take her out of the camp. She sifts back through her memories of the past: the stories of her family, her childhood, and her beloved mentor, who invited her into the glamorous world of the rich women of Amman. This is a novel of enormous power and great beauty. Rich in detail, it tells of the women of the camp, and the joy and relief that can be captured amid repression and sorrow",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570037491l/52216290._SX318_SY475_.jpg,2019,2/23/2022 17:46,265,,,Hoopoe,Egypt - Cairo,,eng,K10plus ISBN,,,,,,,"Heikkinen, Kay",,,,,,,,,,,,
2019,"Najjar, Taghreed",My Brother and Me,978-2-89802-013-1,https://www.goodreads.com/book/show/51819097-my-brother-and-me,"My older brother is no longer the same. He has no time for me, and he seems distant when he is around. What is happening to my older brother?",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615905230l/51819097._SX318_.jpg,2019,2/25/2022 14:26,,,,Crackboom! Books,,,English,Open WorldCat,,OCLC: 1103568806,,,,,"Hartman, Michelle",,,,,,,,,,,,
2019,"Qarmout, Nayrouz",The sea cloak,978-1-905583-78-2,https://www.goodreads.com/book/show/45415635-the-sea-cloak-and-other-stories,"The Sea Cloak is a collection of 14 stories by the author, journalist, and women's rights campaigner, Nayrouz Qarmout. Drawing from her own experiences growing up in a Syrian refugee camp, as well as her current life in Gaza, these stories stitch together a patchwork of different perspectives into what it means to be a woman in Palestine today. Whether following the daily struggles of orphaned children fighting to survive in the rubble of recent bombardments, or mapping the complex, cultural tensions between different generations of refugees in wider Gazan society, these stories offer rare insights into one of the most talked about, but least understood cities in the Middle East. Taken together, the collection affords us a local perspective on a global story, and it does so thanks to a cast of (predominantly female) characters whose vantage point is rooted, firmly, in that most cherished of things, the home.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556628568l/45415635.jpg,2019,2/25/2022 2:59,106,,,Comma Press,UK - Manchester,,eng,Library of Congress ISBN,PJ7958.A77 A2 2019,OCLC: on1064636272,,"Translations into English; Short stories, Arabic",,,"Richards, Perween; Olszok, Charis",,,,,,,,,,,,
2019,"Sharafeddine, Fatima",Ghady & Rawan,978-1-4773-1852-2,https://www.goodreads.com/book/show/41864532-ghady-rawan,"Rawan lives in Lebanon; her best friend, Ghady, lives in Belgium and visits every summer. The two teens share the struggles of growing up, and show how a good friend can help you through life's difficulties --",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541415138l/41864532.jpg,2019,2/25/2022 14:13,125,,,Center for Middle Eastern Studies at the University of Texas,"US - Austin, Texas",,eng,Library of Congress ISBN,MLCS 2020/49320 (P),OCLC: on1053856035,,Fiction; Lebanon; Middle East; Juvenile fiction; Juvenile works; Identity (Philosophical concept); Teenagers; Young adult fiction,,,"Barraj, Samar Mahfouz; Hussain, Sawad; Qualey, M. Lynx",University of Texas at Austin,,,,,,,,,,,
2020,"Adly, Rasha",The girl with braided hair,978-977-416-987-8,https://www.goodreads.com/book/show/53429685-the-girl-with-braided-hair,"""The lives of two women living centuries apart are connected by an enigmatic painting in this mesmerizing debut based on historical events. Art historian, Yasmine, is restoring an unsigned portrait of a strikingly beautiful girl from the Napoleonic Era, when she discovers that the artist has embedded a lock of hair into the painting, something highly unusual. The mysterious painting came into the museum's possession without record, and Yasmine becomes consumed by the secret concealed within this captivating work. Meanwhile, at the close of the French Campaign in Egypt, sixteen-year-old Zeinab, the daughter of a prominent sheikh, is drawn into French high society when Napoleon himself requests her presence. Enamored by the foreign customs of the Europeans, she finds herself on a dangerous path, one that may ostracize her from her family and culture. Seamlessly merging fiction with history, art, and politics, modern day Cairo with its opulent past, this compelling story of two women caught between worlds and entangled in matters of the heart launches an entrancing new literary voice.""--Provided by publisher",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589732668l/53429685._SY475_.jpg,2020,2/23/2022 17:55,324,,,Hoopoe,Egypt - Cairo,New York,eng,K10plus ISBN,,,,,,,"El Enany, Sarah",,,,,,,,,,,,
2020,"AL MALAIKA, NAZIK",REVOLT AGAINST THE SUN a bilingual reader of nazik al-mala'ika's poetry.,978-0-86356-352-2,https://www.goodreads.com/book/show/52131805-revolt-against-the-sun?ac=1&from_search=true&qid=9veEwr5o58&rank=1,"The Iraqi poet Nazik al-Mala'ika was one of the most important Arab poets of the twentieth century. Over the course of a four-decade career, her contributions to both the theory and the practice of free verse (or tafʿilah) poetry confirmed her position as a pioneer of Arab modernism. Revolt Against the Sun presents a selection of Nazik al-Malaʾika's poetry in English translation for the first time. Bringing together poems from each of her published collections, it traces al-Malaʾika's transformation from a lyrical Romantic poet in the 1940s to a fervently committed Arab nationalist in the 1970s and 1980s. The translations offer both an overview of her life and work and an insight into the political and social realities in the Arab world in the decades following the Second World War. Featuring a comprehensive historical and critical introduction, this bilingual reader reveals this groundbreaking poet's role in transforming the landscape of modern Arabic literature and culture in the twentieth century. It is a key resource for students and teachers of Arabic and world literature, as well as for readers interested in discovering an alternative narrative of modern Iraqi culture.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571122500l/52131805._SX318_SY475_.jpg,2020,2/14/2022 4:08,,,,Saqi Books,Place of publication not identified,,English,Open WorldCat,,OCLC: 1204207742,,,,,,,,,,,,,,,,,
2020,"Khalifeh, Sahar",Passage to the plaza,978-0-85742-770-0,https://www.goodreads.com/book/show/52061970-passage-to-the-plaza,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583034573l/52061970.jpg,2020,2/25/2022 14:53,,,,Seagull Books,,,English,Open WorldCat,,OCLC: 1223061276,,,,,"Hussain, Sawad",,,,,,,,,,,,
2020,"Khoury-Ghata, Vénus",The last days of Mandelstam,978-0-85742-653-6,https://www.goodreads.com/book/show/52062218-the-last-days-of-mandelstam,"The year is 1938. The great Russian poet and essayist Osip Mandelstam is forty-seven years old and is dying in a transit camp near Vladivostok after having been arrested by Stalin’s government during the repression of the 1930s and sent into exile with his wife. Stalin, “the Kremlin mountaineer, murderer, and peasant-slayer,” is undoubtedly responsible for his fatal decline. From the depths of his prison cell, lost in a world full of ghosts, Mandelstam sees scenes from his life pass before him: constant hunger, living hand to mouth, relying on the assistance of sympathetic friends, shunned by others, four decades of creation and struggle, alongside his beloved wife Nadezhda, and his contemporaries Anna Akhmatova, Marina Tsvetaeva, Boris Pasternak, and many others. With her sensitive prose and innate sense of drama, French-Lebanese writer Vénus Khoury-Ghata brings Mandelstam back to life and allows him to have the last word—proving that literature is one of the surest means to fight against barbarism.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583034653l/52062218.jpg,2020,2/25/2022 14:47,,,,Seagull Books,,,Translated from the French,Open WorldCat,,OCLC: 1144814149,,,,,"Fagan, Teresa Lavender",,,,,,,,,,,,
2020,"Najjar, Taghreed",The ghoul,978-1-62371-925-8,https://www.goodreads.com/book/show/55364658-the-ghoul,"The villagers are afraid of the ""Ghoul."" For years, they've tiptoed around the village for fear of disturbing it. The monster doesn't look like them, and it is believed to eat humans. One day, the brave Hassan embarks on a dangerous mission to face the long-feared Ghoul. When Hassan finally meets the Ghoul living on top of the mountain, he discovers that the Ghoul is just as terrified of people as they are of him. Hassan and the Ghoul realize that they can still be friends, despite their differences",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600387944l/55364658._SX318_.jpg,2020,2/23/2022 17:54,1,,,"Crocodile Books, USA, an imprint of Interlink Publishing Group, Inc","US - Northampton, MA",,eng,Library of Congress ISBN,E,OCLC: on1104073110,,Fiction; Fear; Individual differences; Juvenile fiction; JUVENILE FICTION / Monsters; JUVENILE FICTION / Social Themes / Emotions & Feelings; JUVENILE FICTION / Social Themes / Prejudice & Racism; Juvenile works; Monsters; Picture books; Picture books for children; Prejudices,,,"Manasrah, Hassan; Moushabeck, Michel",,,,,,,,,,,,
2020,"Shibli, Adania",Minor detail,978-1-913097-17-2,https://www.goodreads.com/book/show/52045757-minor-detail,"Minor Detail begins during the summer of 1949, one year after the war that the Palestinians mourn as the Nakba – the catastrophe that led to the displacement and expulsion of more than 700,000 people – and the Israelis celebrate as the War of Independence. Israeli soldiers capture and rape a young Palestinian woman, and kill and bury her in the sand. Many years later, a woman in Ramallah becomes fascinated to the point of obsession with this ‘minor detail’ of history. A haunting meditation on war, violence and memory, Minor Detail cuts to the heart of the Palestinian experience of dispossession, life under occupation, and the persistent difficulty of piecing together a narrative in the face of ongoing erasure and disempowerment.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575023902l/52045757._SX318_SY475_.jpg,2020,2/23/2022 4:25,112,,,Fitzcarraldo Editions,UK - London,,eng,K10plus ISBN,,,,,,,"Jaquette, Elisabeth",,,,,,,,,,,,
2020,"Wannous, Dima",The frightened ones,978-0-525-65514-5,https://www.goodreads.com/book/show/52804642-the-frightened-ones,"""In her therapist's waiting room in Damascus, Suleima meets the strange and reticent Nassim and soon the two begin a strained relationship. But when Nassim, a writer, flees Syria for Germany, he gives Suleima the manuscript for his most recent novel, whose protagonist's life bears discomforting similarities to her own. Whose story is it? What is fact and what is fiction? Narrated in alternating chapters by Suleima and the mysterious woman in Nassim's novel, The Frightened Ones is a probing examination of life in Assad's Syria and the devastating effects of oppression on one's sense of identity""--",,https://m.media-amazon.com/images/I/4183HlVf8OL._AC_SY780_.jpg,2020,2/23/2022 17:56,1,,,Alfred A. Knopf,US - New York,,eng ara,Library of Congress ISBN,PJ7970.A58,,,,,,"Jaquette, Elisabeth",,,,,,,,,,,,
2020,,Home: new Arabic poems on everyday life,978-1-949641-07-3,,"""Poems that explore the intimate world of everyday life through contemporary voices from across the Arabic-speaking world""--",,,2020,2/25/2022 14:33,,Home,,Two Lines Press,US - San Francisco,,eng ara,Library of Congress ISBN,PJ7694.E3 H66 2020,,,Translations into English; 20th century; 21st century; Arabic poetry,"Abū Hawwāsh, Sāmir; Abū Hawwāsh, Sāmir; Wehbe, Rawad",,,,,,,,,,,,,,
2021,"Abdel aziz, Basma",Here is a body,978-1-64903-083-2 978-1-64903-082-5,,"""""Mysterious men are rounding up street children and enrolling them in a so-called ""rehabilitation program,"" designed to indoctrinate them for the military-backed regime's imminent crackdown on its opponents. Across town, thousands of protesters encamp in a city square demanding the return of the recently deposed president. Reminiscent of recent clashes in Egypt and reflective of political movements worldwide where civilians face off against state power, Abdel Aziz deftly illustrates the universal human struggles between resisting and succumbing to an oppressive regime. Here Is A Body is a courageous and powerful depiction of the state cooptation of human bodies, the dehumanization of marginalized groups, and the use of inflammatory religious rhetoric to manipulate a narrative.""""--",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623670661l/57049411.jpg,2021,2/25/2022 3:19,1,,,Hoopoe,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7904.A95,,,Fiction; Political violence; Authoritarianism; Militarism,,,"Wright, Jonathan",,,,,,,,,,,,
